source,method,city,scenario,episode,n_agents,total_steps,tasks_appeared,tasks_completed,throughput_rate,accept_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,mean_extra_steps_per_task,peak_load,congestion_variance,mean_bpr_along_route,n_traversals_in_jam,route_congestion_exposure,total_fleet_distance_m,agent_completed_gini,agent_completed_std,n_ghost_active_mean,mean_congestion_at_decision,wallclock_ms,compute_time_per_task_ms,compute_time_per_decision_us,capacity_violations,pairing_violations
RL,Hybrid,NewYork_Small,normal_wave,1,6,3600,113,104,0.9204,1.0000,424.3654,0.0000,0.1156,4.6454,224.6667,209.8411,995.5585,0.8863,25.5550,28,0.3754,6.2831,114,0.9157,103538.0781,0.3057,0.5674,1191.7008,4.6949,11059,97.8673,16311.2090,0,0
RL,Hybrid,NewYork_Small,normal_ramp,0,6,3600,110,97,0.8818,1.0000,533.9587,533.9587,0.2681,4.3229,293.3711,248.3010,1265.0146,0.8624,40.3682,24,0.3124,3.1933,67,0.7442,122706.4219,0.3260,0.6165,655.0147,4.3160,11386,103.5091,17251.5156,0,0
RL,Hybrid,NewYork_Small,normal_ramp,1,6,3600,106,94,0.8868,1.0000,484.4043,484.4043,0.1848,4.3313,285.1596,210.1212,1235.4802,0.8665,38.0635,28,0.3027,3.5307,43,0.7324,116135.1406,0.2600,0.4949,655.0147,4.3371,7454,70.3208,11720.1260,0,0
RL,Hybrid,NewYork_Small,stress_shock,0,6,3600,158,143,0.9051,1.0000,461.5734,0.0000,0.1583,4.1776,237.6084,228.2026,1059.9150,0.8922,25.6254,24,0.4769,4.6964,58,0.7916,151567.8594,0.2907,0.5268,543.2000,4.1691,4547,28.7785,4796.4136,0,0
RL,Hybrid,NewYork_Small,stress_shock,1,6,3600,134,127,0.9478,1.0000,378.8110,0.0000,0.1171,4.1963,196.7874,196.9538,866.4035,0.8805,23.5067,28,0.4697,4.5364,51,0.8515,110033.2422,0.3236,0.5918,543.2000,4.2181,3331,24.8582,4143.0347,0,0
RL,Hybrid,NewYork_Small,stress_buildup,0,6,3600,212,194,0.9151,1.0000,562.5309,562.5309,0.2960,4.4535,263.2834,293.5323,1089.6738,0.8278,45.3486,24,0.3872,4.5881,144,0.7618,211396.7188,0.2817,0.5030,935.7400,4.3823,12673,59.7783,9963.0508,0,0
RL,Hybrid,NewYork_Small,stress_buildup,1,6,3600,204,179,0.8775,1.0000,433.1955,433.1955,0.3169,4.4637,210.3352,222.3096,930.3544,0.8846,24.2643,28,0.3695,5.1783,134,0.8718,166533.4375,0.2708,0.4803,935.7400,4.4386,11647,57.0931,9515.5225,0,0
RL,Hybrid,NewYork_Small,over_fleet,0,6,3600,41,39,0.9512,1.0000,461.3333,115.3333,0.7949,4.6668,262.7692,200.2683,1138.4778,0.8665,35.0737,28,0.3576,4.4887,36,0.8486,44400.6328,0.1663,0.3872,1191.7008,4.7202,4208,102.6341,17105.6914,0,0
RL,Hybrid,NewYork_Small,over_fleet,1,6,3600,57,51,0.8947,1.0000,441.1176,88.2235,0.9231,4.6581,272.1569,167.3636,1195.1761,0.8783,33.1216,28,0.3679,5.3771,44,0.8739,60953.9844,0.2715,0.5518,1191.7008,4.6473,3531,61.9474,10324.5615,0,0
TP,TokenPassing,NewYork_Small,normal_wave,0,6,3600,107,42,0.3925,1.0000,863.8095,215.9524,0.8034,4.6611,231.2162,671.5312,1456.9425,1.0000,0.0000,24,0.3651,4.2516,27,0.8976,61191.5820,0.3381,0.6370,1191.7008,4.7193,185241,1731.2242,288537.3750,0,0
