seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,rmca_relative_regret,rmca_marginal_cost_k1,rmca_marginal_cost_k2,mean_allocation_time_us,mean_tam_dijkstra_steps,path_compute_time_ms,mean_pure_alloc_time_ms,wallclock_ms
43,20,Tokyo_Small,eval_normal_wave,FaithfulMAPPER,3600,6,105,74,0.7048,1.0000,0.0000,737.8243,368.9122,0.4226,4.6483,350.6081,380.5168,1151.8694,0.6571,28.9712,26.9119,863.0358,240.1928,48.6857,8114.2856,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7048,0.2952,4.6930,1125.4863,wave,0.3581,0.6659,1.1651,0.0000,1.0000,0.0000,120.2342,28,939.1111,0.3754,0.7440,4,0,85238.3359,4.2571,0.0000,4.2571,0.6843,0.4622,0.0000,3.0002,53177.0273,35,1.1727,0.0000,0.0000,0.0000,32774.7617,3.4667,923.7860,0.0000,5112
43,21,Tokyo_Small,eval_normal_wave,FaithfulMAPPER,3600,6,120,87,0.7250,1.0000,0.0000,636.4713,0.0000,0.1419,4.6503,315.3529,355.5816,1057.5144,0.6707,29.5703,27.4291,832.1573,211.3590,81.2250,13537.5000,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7250,0.2750,4.7345,1125.4863,wave,0.3295,0.6065,1.2823,0.0000,1.0000,0.0000,103.8501,28,939.9883,0.3641,0.6325,4,0,92003.7500,4.4500,0.0000,4.4500,0.6915,0.5084,0.0000,2.3280,34835.5547,21,1.0000,0.0000,0.0000,0.0000,64545.0508,3.4667,5857.6382,0.0000,9747
43,22,Tokyo_Small,eval_normal_ramp,FaithfulMAPPER,3600,6,109,74,0.6789,1.0000,0.0000,588.4595,588.4595,0.2989,4.3255,320.7703,290.0230,1213.1713,0.7564,29.3889,27.6252,918.1266,233.3882,71.1009,11850.1533,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6789,0.3211,4.3651,618.6302,ramp_up_down,0.3469,0.6681,1.2747,0.0000,1.0000,0.0000,78.1360,28,549.9997,0.3103,0.4920,4,0,89774.6719,4.4771,0.0000,4.4771,0.7075,0.6051,0.0000,2.2576,24290.7891,23,1.0910,0.0000,0.0000,0.0000,58360.8359,3.4495,4733.8862,0.0000,7750
43,23,Tokyo_Small,eval_normal_ramp,FaithfulMAPPER,3600,6,92,75,0.8152,1.0000,0.0000,517.8134,517.8134,0.2630,4.3328,265.5867,258.4756,1054.9803,0.7945,27.9160,26.2920,778.4353,220.2843,53.6522,8942.0293,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8152,0.1848,4.3604,618.6302,ramp_up_down,0.2975,0.5769,1.1859,0.0000,1.0000,0.0000,54.5906,24,548.9706,0.3075,0.3890,4,0,79123.5234,4.2174,0.0000,4.2174,0.7541,0.4267,0.0000,1.9880,25100.2246,11,1.0000,0.0000,0.0000,0.0000,40506.8242,3.4348,2427.7920,0.0000,4936
43,24,Tokyo_Small,eval_stress_shock,FaithfulMAPPER,3600,5,129,105,0.8140,1.0000,0.0000,502.8762,0.0000,0.0482,4.1985,249.6572,280.7851,939.3007,0.7525,26.7263,23.0238,773.1744,79.0503,36.1938,6032.2998,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8140,0.1860,4.2372,513.2000,shock_burst,0.2605,0.4818,1.3420,0.0000,1.0000,0.0000,61.7970,24,437.9406,0.4614,0.4179,5,0,98626.5703,4.4341,0.0000,4.4341,0.7581,0.4829,0.0000,1.7410,20631.2148,16,1.0000,0.0000,0.0000,0.0000,27313.4102,3.3256,1138.5520,0.0000,4669
43,25,Tokyo_Small,eval_stress_shock,FaithfulMAPPER,3600,5,162,135,0.8333,1.0000,0.0000,508.4296,508.4296,0.3200,4.1724,261.3630,239.9803,984.6066,0.7534,28.6325,26.8232,750.2105,51.4948,47.1914,7865.2266,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8333,0.1667,4.1788,513.2000,shock_burst,0.3123,0.5696,1.2778,0.0000,1.0000,0.0000,64.4417,24,439.5853,0.4763,0.3819,7,0,132921.8906,4.0926,0.0000,4.0926,0.7640,0.4579,0.0000,1.8373,27972.4023,12,1.0357,0.0000,0.0000,0.0000,39768.4375,3.2840,3663.8870,0.0000,7645
43,26,Tokyo_Small,eval_stress_buildup,FaithfulMAPPER,3600,4,206,156,0.7573,1.0000,0.0000,679.8911,339.9455,0.5992,4.4560,302.4258,386.0625,1112.5162,0.7357,28.9034,26.1683,846.8906,25.8507,77.5097,12918.2852,1,0,0.0000,0.0000,0.0000,0.0000,0,0.7573,0.2427,4.4102,883.7547,building_up,0.2370,0.4340,1.2102,0.0000,1.0000,0.0000,79.9226,36,766.4400,0.3753,0.5535,5,0,173552.5469,4.2524,0.0000,4.2524,0.7130,0.4518,0.0000,3.1955,118984.6328,52,1.0226,0.0000,0.0000,0.0000,67964.5938,3.4903,6144.1211,0.0000,15967
43,27,Tokyo_Small,eval_stress_buildup,FaithfulMAPPER,3600,4,202,145,0.7178,1.0000,0.0000,616.1448,616.1448,0.4156,4.4607,294.6000,345.3506,955.0909,0.6484,28.4599,27.0769,822.8199,46.0456,71.5396,11923.2676,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7178,0.2822,4.4554,883.7547,building_up,0.3119,0.5572,1.2270,0.0000,1.0000,0.0000,103.5818,24,766.1825,0.3640,0.5672,5,0,138488.1875,4.2624,0.0000,4.2624,0.6641,0.4609,0.0000,2.5483,67536.1016,42,1.0187,0.0000,0.0000,0.0000,60691.5703,3.4752,4696.2979,0.0000,14451
43,28,Tokyo_Small,eval_over_fleet,FaithfulMAPPER,3600,60,49,37,0.7551,1.0000,0.0000,799.5135,79.9513,0.1829,4.6676,418.9460,381.6304,1200.4031,0.5731,28.2802,24.9168,922.0922,345.9441,136.2653,22710.8848,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7551,0.2449,4.7602,1125.4863,wave,0.3068,0.6151,1.1909,0.0000,1.0000,0.0000,178.8653,28,935.1931,0.3570,0.7073,2,0,44414.9102,4.2041,0.0000,4.2041,0.7699,0.5429,0.0000,2.9846,23617.6484,21,1.4179,0.0000,0.0000,0.0000,94340.1016,3.3061,3886.7759,0.0000,6677
43,29,Tokyo_Small,eval_over_fleet,FaithfulMAPPER,3600,60,57,43,0.7544,1.0000,0.0000,622.6279,69.1809,0.1593,4.6653,315.4524,303.5000,998.1842,0.6329,28.6363,25.4574,782.2531,345.1320,116.6667,19444.4453,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7544,0.2456,4.6874,1125.4863,wave,0.3592,0.7358,1.3733,0.0000,1.0000,0.0000,115.8156,24,935.3367,0.3652,0.7498,4,0,42921.9219,4.2281,0.0000,4.2281,0.7304,0.5286,0.0000,3.2500,23837.1641,22,1.6049,0.0000,0.0000,0.0000,90335.8047,3.4035,4413.5508,0.0000,6650
