seed,source,method,city,scenario,episode,n_agents,total_steps,tasks_appeared,tasks_completed,throughput_rate,accept_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,mean_extra_steps_per_task,peak_load,congestion_variance,mean_bpr_along_route,n_traversals_in_jam,route_congestion_exposure,total_fleet_distance_m,agent_completed_gini,agent_completed_std,n_ghost_active_mean,mean_congestion_at_decision,wallclock_ms,compute_time_per_task_ms,compute_time_per_decision_us,capacity_violations,pairing_violations
44,RL,MAPPO,Paris_Small,normal_wave,0,6,3600,105,85,0.8095,1.0,652.9059,652.9059,0.2491,4.6568,315.5238,349.0,969.3154,0.6144,121.6607,28,0.3617,3.5094,44,0.7946,82391.8125,0.372,0.7093,1812.0836,4.7338,12731,121.2476,20207.9355,0,0
44,RL,MAPPO,Paris_Small,normal_wave,1,6,3600,97,75,0.7732,1.0,637.7867,637.7867,0.3162,4.6597,329.44,370.2581,975.972,0.5925,134.2456,28,0.3654,3.3247,40,0.7052,73197.8984,0.4005,0.7448,1812.0836,4.6932,17429,179.6804,29946.7363,0,0
44,RL,MAPPO,Paris_Small,over_fleet,0,60,3600,49,42,0.8571,1.0,479.1667,95.8333,0.0999,4.6681,279.0238,207.6383,905.0972,0.6488,98.0044,28,0.3521,1.8579,8,0.6021,38014.082,0.427,0.7854,1812.0836,4.693,11592,236.5714,39428.5703,0,0
44,RL,MAPPO,Paris_Small,over_fleet,1,60,3600,55,48,0.8727,1.0,636.375,63.6375,0.1722,4.6683,341.6875,298.7308,883.3062,0.517,165.0263,28,0.3531,3.5302,19,0.8701,42398.6992,0.2971,0.6208,1812.0836,4.7146,22293,405.3273,67554.5469,0,0
44,RL,MAPPO,Paris_Small,stress_buildup,0,4,3600,244,184,0.7541,1.0,565.3098,282.6549,0.5043,4.4783,273.0112,309.5366,927.8488,0.6797,87.4415,28,0.3597,2.6555,68,0.6284,170724.1875,0.2236,0.445,1422.855,4.4414,35332,144.8033,24133.8789,0,0
44,RL,MAPPO,Paris_Small,stress_buildup,1,4,3600,216,157,0.7269,1.0,605.2739,605.2739,0.4863,4.486,295.0956,327.9831,947.2559,0.642,105.6444,24,0.3456,3.4579,75,0.6377,148719.1719,0.2412,0.4355,1422.855,4.4933,30891,143.0139,23835.6484,0,0
44,RL,MAPPO,Paris_Small,stress_shock,0,5,3600,186,136,0.7312,1.0,536.2867,268.1434,0.4103,4.2105,259.3358,281.4706,1004.9315,0.775,58.3495,24,0.4523,2.3243,22,0.4315,136670.6875,0.2817,0.513,825.8,4.247,23676,127.2903,21215.0547,0,0
44,RL,MAPPO,Paris_Small,stress_shock,1,5,3600,152,132,0.8684,1.0,541.4621,270.731,0.4424,4.2149,310.6591,239.1597,1164.3278,0.7496,77.7935,24,0.458,1.8332,18,0.3779,153691.2656,0.2787,0.5211,825.8,4.1716,13467,88.5987,14766.4473,0,0
44,RL,MAPPO,Tokyo_Small,normal_ramp,0,6,3600,99,80,0.8081,1.0,545.875,545.875,0.2694,4.3257,278.3875,283.3696,1128.8318,0.811,52.6212,24,0.3064,2.2483,23,0.3962,90306.5469,0.2995,0.5551,618.6302,4.3152,8509,85.9495,14324.916,0,0
44,RL,MAPPO,Tokyo_Small,normal_ramp,1,6,3600,114,87,0.7632,1.0,513.2414,513.2414,0.1944,4.3235,269.0349,260.67,1098.4121,0.8166,49.3525,28,0.3028,2.3639,23,0.4805,95561.8516,0.366,0.7184,618.6302,4.3453,7464,65.4737,10912.2803,0,0
44,RL,MAPPO,Tokyo_Small,normal_wave,0,6,3600,81,59,0.7284,1.0,677.3051,0.0,0.1361,4.6593,314.9322,370.6087,1058.0974,0.672,103.3127,28,0.3558,2.9005,25,0.7093,62427.75,0.4386,0.8386,1125.4863,4.712,8766,108.2222,18037.0371,0,0
44,RL,MAPPO,Tokyo_Small,normal_wave,1,6,3600,79,59,0.7468,1.0,582.0339,582.0339,0.2214,4.6535,261.6379,354.4189,861.0269,0.6582,89.4326,28,0.3693,2.9616,18,0.705,50800.5898,0.4241,0.778,1125.4863,4.6875,6214,78.6582,13109.7051,0,0
44,RL,MAPPO,Tokyo_Small,over_fleet,0,60,3600,44,30,0.6818,1.0,545.6,68.2,0.1497,4.6702,272.1667,279.3513,1011.7087,0.7434,69.8249,28,0.3546,3.7231,14,0.7446,30351.2617,0.4889,0.9129,1125.4863,4.7454,9714,220.7727,36795.4531,0,0
44,RL,MAPPO,Tokyo_Small,over_fleet,1,60,3600,56,41,0.7321,1.0,688.5122,68.8512,0.1709,4.6636,365.2439,319.3726,1071.1492,0.5865,151.0141,28,0.3612,2.6326,17,0.6849,43917.1172,0.3889,0.779,1125.4863,4.6754,11602,207.1786,34529.7617,0,0
44,RL,MAPPO,Tokyo_Small,stress_buildup,0,4,3600,224,166,0.7411,1.0,571.7831,285.8916,0.5478,4.4626,255.7073,339.9948,981.5387,0.7677,59.3996,28,0.3665,2.3621,43,0.5363,162935.4219,0.2843,0.517,883.7547,4.4426,21209,94.683,15780.5059,0,0
