seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,actor_loss,critic_loss,entropy,adv_std,n_experiences,wallclock_ms
43,52,Tokyo_Medium,train,MAPPO,3600,12,113,13,0.1150,0.4336,0.5664,1761.1538,251.5934,0.6308,-0.0000,25.6326,0.5998,3.8078,60,151151
43,53,Tokyo_Large,train,MAPPO,3600,15,95,9,0.0947,0.7263,0.2737,1272.2222,181.7460,0.5115,-0.0000,37.7119,0.6086,4.2817,111,326710
43,54,Tokyo_Small,train,MAPPO,3600,8,179,36,0.2011,0.3352,0.6648,1175.0555,235.0111,0.7324,-0.0001,2.6198,0.5883,1.6170,79,46431
43,55,Tokyo_Medium,train,MAPPO,3600,12,109,18,0.1651,0.4954,0.5046,1524.2222,217.7460,0.6543,-0.0001,14.3572,0.5983,3.2674,79,171505
43,56,Tokyo_Large,train,MAPPO,3600,15,118,12,0.1017,0.6102,0.3898,1828.9166,203.2130,0.6232,-0.0000,63.0451,0.6101,5.3827,104,506361
43,57,Tokyo_Small,train,MAPPO,3600,8,137,34,0.2482,0.4234,0.5766,842.2941,168.4588,0.6759,-0.0000,1.2046,0.5859,1.0977,82,26964
43,58,Tokyo_Medium,train,MAPPO,3600,12,114,18,0.1579,0.4649,0.5351,1719.0000,245.5714,0.6569,-0.0001,15.3867,0.5987,3.2309,79,88049
43,59,Tokyo_Large,train,MAPPO,3600,15,90,12,0.1333,0.7000,0.3000,1987.3334,248.4167,0.5865,-0.0000,57.5998,0.6036,5.4746,82,319559
43,60,Tokyo_Small,train,MAPPO,3600,8,123,28,0.2276,0.4146,0.5854,1065.1786,213.0357,0.6407,-0.0000,1.3057,0.5860,0.9424,68,15722
43,61,Tokyo_Medium,train,MAPPO,3600,12,93,15,0.1613,0.5376,0.4624,1741.2000,248.7428,0.5981,-0.0000,5.8988,0.5983,2.2112,60,126720
43,62,Tokyo_Large,train,MAPPO,3600,15,107,9,0.0841,0.6449,0.3551,1663.4445,237.6349,0.4916,-0.0000,40.6920,0.6101,4.7486,89,375856
43,63,Tokyo_Small,train,MAPPO,3600,8,173,26,0.1503,0.2832,0.7168,1314.6538,262.9308,0.6818,-0.0000,1.6643,0.5863,1.0911,74,66885
43,64,Tokyo_Medium,train,MAPPO,3600,12,96,18,0.1875,0.5625,0.4375,1442.0000,206.0000,0.6064,-0.0000,9.8837,0.5977,2.3431,78,76834
43,65,Tokyo_Large,train,MAPPO,3600,15,108,4,0.0370,0.5926,0.4074,1617.0000,202.1250,0.5377,-0.0000,44.3105,0.6118,4.3834,95,561622
43,66,Tokyo_Small,train,MAPPO,3600,8,154,34,0.2208,0.3766,0.6234,1290.3529,258.0706,0.7210,-0.0000,2.1316,0.5869,1.3466,69,29196
43,67,Tokyo_Medium,train,MAPPO,3600,12,141,17,0.1206,0.3759,0.6241,1980.6471,282.9496,0.6475,-0.0000,28.1319,0.6027,4.2933,63,153121
43,68,Tokyo_Large,train,MAPPO,3600,15,116,10,0.0862,0.5948,0.4052,2053.8000,293.4000,0.5259,-0.0000,45.0686,0.6088,4.3286,99,625151
43,69,Tokyo_Small,train,MAPPO,3600,8,138,34,0.2464,0.4203,0.5797,1367.8529,273.5706,0.6826,-0.0000,1.5573,0.5875,1.2325,78,33855
43,70,Tokyo_Medium,train,MAPPO,3600,12,113,20,0.1770,0.4867,0.5133,1684.1500,240.5929,0.6220,-0.0000,12.5543,0.5995,3.0541,71,212968
43,71,Tokyo_Large,train,MAPPO,3600,15,95,10,0.1053,0.7368,0.2632,1555.4000,194.4250,0.5516,-0.0001,59.8392,0.6099,5.6672,95,545514
43,72,Tokyo_Small,train,MAPPO,3600,8,159,37,0.2327,0.3836,0.6164,1264.9459,252.9892,0.7331,-0.0000,3.4779,0.5885,1.7940,90,37192
43,73,Tokyo_Medium,train,MAPPO,3600,12,90,19,0.2111,0.6000,0.4000,1637.6316,233.9474,0.6195,-0.0000,7.3162,0.5998,2.4248,79,84114
43,74,Tokyo_Large,train,MAPPO,3600,15,112,8,0.0714,0.5982,0.4018,1379.8750,197.1250,0.5188,-0.0001,49.8271,0.6098,5.2037,90,714746
43,75,Tokyo_Small,eval,MAPPO,3600,8,160,32,0.2000,0.3438,0.6562,1259.6562,251.9312,0.6795,0.0000,0.0000,0.0000,0.0000,0,32023
43,76,Tokyo_Small,eval,MAPPO,3600,8,127,29,0.2283,0.4094,0.5906,1311.8276,262.3655,0.6950,0.0000,0.0000,0.0000,0.0000,0,22599
43,77,Tokyo_Small,eval,MAPPO,3600,8,129,30,0.2326,0.4186,0.5814,1001.9667,250.4917,0.6239,0.0000,0.0000,0.0000,0.0000,0,23066
43,78,Tokyo_Small,eval,TamAlwaysAccept,3600,8,159,30,0.1887,0.3333,0.6667,1176.3000,235.2600,0.6498,0.0000,0.0000,0.0000,0.0000,0,30810
43,79,Tokyo_Small,eval,TamAlwaysAccept,3600,8,164,28,0.1707,0.3171,0.6829,1553.3214,310.6643,0.6947,0.0000,0.0000,0.0000,0.0000,0,30415
43,80,Tokyo_Small,eval,TamAlwaysAccept,3600,8,140,36,0.2571,0.4286,0.5714,987.7778,246.9444,0.6014,0.0000,0.0000,0.0000,0.0000,0,20740
43,81,Tokyo_Small,eval,Greedy,3600,8,140,17,0.1214,0.2929,0.7071,1644.2941,328.8588,0.7183,0.0000,0.0000,0.0000,0.0000,0,5375
43,82,Tokyo_Small,eval,Greedy,3600,8,146,20,0.1370,0.3014,0.6986,1473.0500,294.6100,0.7095,0.0000,0.0000,0.0000,0.0000,0,2701
43,83,Tokyo_Small,eval,Greedy,3600,8,130,18,0.1385,0.3231,0.6769,1636.3334,327.2667,0.7171,0.0000,0.0000,0.0000,0.0000,0,3534
43,84,Tokyo_Small,eval,Random,3600,8,143,16,0.1119,0.2797,0.7203,1566.6875,313.3375,0.7284,0.0000,0.0000,0.0000,0.0000,0,4107
43,85,Tokyo_Small,eval,Random,3600,8,137,19,0.1387,0.3139,0.6861,1520.5790,304.1158,0.7388,0.0000,0.0000,0.0000,0.0000,0,3590
43,86,Tokyo_Small,eval,Random,3600,8,137,18,0.1314,0.3066,0.6934,1672.6666,334.5333,0.7161,0.0000,0.0000,0.0000,0.0000,0,3262
43,87,Tokyo_Small,eval,InsertionGreedy,3600,8,134,17,0.1269,0.3060,0.6940,1167.4706,233.4941,0.6311,0.0000,0.0000,0.0000,0.0000,0,7650
43,88,Tokyo_Small,eval,InsertionGreedy,3600,8,166,20,0.1205,0.2651,0.7349,1479.3500,295.8700,0.7306,0.0000,0.0000,0.0000,0.0000,0,6495
43,89,Tokyo_Small,eval,InsertionGreedy,3600,8,163,19,0.1166,0.2638,0.7362,1525.0000,305.0000,0.7008,0.0000,0.0000,0.0000,0.0000,0,8080
43,90,Tokyo_Medium,eval,MAPPO,3600,12,119,18,0.1513,0.4454,0.5546,1577.0000,197.1250,0.7015,0.0000,0.0000,0.0000,0.0000,0,111443
43,91,Tokyo_Medium,eval,MAPPO,3600,12,118,15,0.1271,0.4322,0.5678,2041.1333,255.1417,0.6759,0.0000,0.0000,0.0000,0.0000,0,90087
43,92,Tokyo_Medium,eval,MAPPO,3600,12,116,18,0.1552,0.4655,0.5345,1666.2222,238.0317,0.6653,0.0000,0.0000,0.0000,0.0000,0,82154
43,93,Tokyo_Medium,eval,TamAlwaysAccept,3600,12,84,17,0.2024,0.6190,0.3810,1680.9412,280.1569,0.5774,0.0000,0.0000,0.0000,0.0000,0,46244
43,94,Tokyo_Medium,eval,TamAlwaysAccept,3600,12,109,14,0.1284,0.4495,0.5505,1749.4286,249.9184,0.5979,0.0000,0.0000,0.0000,0.0000,0,79983
43,95,Tokyo_Medium,eval,TamAlwaysAccept,3600,12,122,18,0.1475,0.4426,0.5574,1466.5555,209.5079,0.5958,0.0000,0.0000,0.0000,0.0000,0,104381
43,96,Tokyo_Medium,eval,Greedy,3600,12,99,8,0.0808,0.4444,0.5556,1868.8750,233.6094,0.6753,0.0000,0.0000,0.0000,0.0000,0,22326
43,97,Tokyo_Medium,eval,Greedy,3600,12,107,9,0.0841,0.4206,0.5794,1893.8889,236.7361,0.6881,0.0000,0.0000,0.0000,0.0000,0,14042
43,98,Tokyo_Medium,eval,Greedy,3600,12,101,9,0.0891,0.4455,0.5545,1911.6666,273.0952,0.6441,0.0000,0.0000,0.0000,0.0000,0,13316
43,99,Tokyo_Medium,eval,Random,3600,12,103,9,0.0874,0.4272,0.5728,2224.7778,317.8254,0.6546,0.0000,0.0000,0.0000,0.0000,0,13797
43,100,Tokyo_Medium,eval,Random,3600,12,117,7,0.0598,0.3675,0.6325,1910.4286,238.8036,0.6757,0.0000,0.0000,0.0000,0.0000,0,11995
43,101,Tokyo_Medium,eval,Random,3600,12,115,7,0.0609,0.3739,0.6261,2240.2856,280.0357,0.7046,0.0000,0.0000,0.0000,0.0000,0,12946
43,102,Tokyo_Medium,eval,InsertionGreedy,3600,12,125,11,0.0880,0.3760,0.6240,1882.5454,235.3182,0.6865,0.0000,0.0000,0.0000,0.0000,0,25128
43,103,Tokyo_Medium,eval,InsertionGreedy,3600,12,118,12,0.1017,0.4068,0.5932,1636.0834,204.5104,0.6772,0.0000,0.0000,0.0000,0.0000,0,27061
43,104,Tokyo_Medium,eval,InsertionGreedy,3600,12,98,8,0.0816,0.4490,0.5510,1677.2500,279.5417,0.5737,0.0000,0.0000,0.0000,0.0000,0,22484
43,105,Tokyo_Large,eval,MAPPO,3600,15,121,10,0.0826,0.5785,0.4215,1760.6000,220.0750,0.5794,0.0000,0.0000,0.0000,0.0000,0,1135238
43,106,Tokyo_Large,eval,MAPPO,3600,15,109,13,0.1193,0.6697,0.3303,1622.7693,180.3077,0.6313,0.0000,0.0000,0.0000,0.0000,0,537728
43,107,Tokyo_Large,eval,MAPPO,3600,15,95,9,0.0947,0.7263,0.2737,1693.5555,241.9365,0.5217,0.0000,0.0000,0.0000,0.0000,0,313737
43,108,Tokyo_Large,eval,TamAlwaysAccept,3600,15,102,11,0.1078,0.6961,0.3039,1930.2727,214.4747,0.6253,0.0000,0.0000,0.0000,0.0000,0,179620
43,109,Tokyo_Large,eval,TamAlwaysAccept,3600,15,96,4,0.0417,0.6667,0.3333,1843.0000,230.3750,0.5691,0.0000,0.0000,0.0000,0.0000,0,260378
43,110,Tokyo_Large,eval,TamAlwaysAccept,3600,15,101,12,0.1188,0.7030,0.2970,2063.6667,257.9583,0.5636,0.0000,0.0000,0.0000,0.0000,0,220616
43,111,Tokyo_Large,eval,Greedy,3600,15,113,1,0.0088,0.5398,0.4602,1663.0000,207.8750,0.5715,0.0000,0.0000,0.0000,0.0000,0,86962
43,112,Tokyo_Large,eval,Greedy,3600,15,96,2,0.0208,0.6458,0.3542,1576.0000,197.0000,0.5356,0.0000,0.0000,0.0000,0.0000,0,22378
43,113,Tokyo_Large,eval,Greedy,3600,15,99,1,0.0101,0.6162,0.3838,1896.0000,237.0000,0.5363,0.0000,0.0000,0.0000,0.0000,0,30994
43,114,Tokyo_Large,eval,Random,3600,15,105,3,0.0286,0.5905,0.4095,2675.6667,297.2963,0.6366,0.0000,0.0000,0.0000,0.0000,0,34296
43,115,Tokyo_Large,eval,Random,3600,15,108,4,0.0370,0.5741,0.4259,2222.0000,246.8889,0.6417,0.0000,0.0000,0.0000,0.0000,0,30617
