seed,city,phase,policy_mode,n_episodes,throughput_mean,throughput_std,accept_rate_mean,accept_rate_std,latency_mean_mean,latency_mean_std,utilisation_mean,utilisation_std,actor_loss_mean,critic_loss_mean,entropy_mean
42,Tokyo_Small,eval,InsertionGreedy,15,0.0101,0.0012,0.0308,0.0015,1715.6519,132.7932,0.7499,0.0018,0.0000,0.0000,0.0000
42,Tokyo_Small,train,MAPPO,50,0.2008,0.0263,0.3608,0.0324,1227.3638,148.8548,0.6785,0.0261,-0.0000,2.3348,0.5985
42,Tokyo_Medium,train,MAPPO,50,0.1572,0.0296,0.4792,0.0375,1562.6449,144.9036,0.6247,0.0416,-0.0000,16.0956,0.6058
42,Tokyo_Large,train,MAPPO,50,0.0821,0.0276,0.6307,0.0682,1742.1453,240.7328,0.5724,0.0461,-0.0000,59.0891,0.6064
42,Tokyo_Small,eval,MAPPO,6,0.2167,0.0359,0.3842,0.0452,1195.9686,93.5025,0.6714,0.0318,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,TamAlwaysAccept,6,0.2000,0.0287,0.3606,0.0342,1235.7843,115.0814,0.6693,0.0194,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,Greedy,6,0.1285,0.0156,0.2909,0.0251,1623.7587,100.5350,0.7254,0.0072,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,Random,6,0.1164,0.0155,0.2719,0.0293,1592.8187,85.1498,0.7223,0.0142,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,InsertionGreedy,6,0.1184,0.0193,0.2832,0.0321,1425.5737,152.7550,0.7073,0.0182,0.0000,0.0000,0.0000
42,Tokyo_Medium,eval,MAPPO,6,0.1909,0.0167,0.5221,0.0601,1613.4491,221.1396,0.6403,0.0346,0.0000,0.0000,0.0000
42,Tokyo_Medium,eval,TamAlwaysAccept,6,0.1700,0.0243,0.5174,0.0519,1468.1143,93.1427,0.6059,0.0231,0.0000,0.0000,0.0000
42,Tokyo_Medium,eval,Greedy,6,0.0748,0.0073,0.3638,0.0164,2018.8359,63.8714,0.6907,0.0090,0.0000,0.0000,0.0000
42,Tokyo_Medium,eval,Random,6,0.0679,0.0147,0.4104,0.0361,2038.2767,318.4484,0.6652,0.0323,0.0000,0.0000,0.0000
42,Tokyo_Medium,eval,InsertionGreedy,6,0.0868,0.0198,0.4061,0.0426,1720.6562,296.8697,0.6435,0.0225,0.0000,0.0000,0.0000
42,Tokyo_Large,eval,MAPPO,6,0.0925,0.0245,0.6406,0.0346,1820.5021,171.5707,0.5670,0.0701,0.0000,0.0000,0.0000
42,Tokyo_Large,eval,TamAlwaysAccept,6,0.0920,0.0132,0.6616,0.0556,1517.9386,130.6566,0.5804,0.0265,0.0000,0.0000,0.0000
42,Tokyo_Large,eval,Greedy,6,0.0311,0.0089,0.5903,0.0360,1954.1471,208.6994,0.6014,0.0303,0.0000,0.0000,0.0000
42,Tokyo_Large,eval,Random,6,0.0161,0.0051,0.5861,0.0401,2023.5000,487.0712,0.6379,0.0278,0.0000,0.0000,0.0000
42,Tokyo_Large,eval,InsertionGreedy,6,0.0609,0.0263,0.6149,0.0660,1523.3428,351.2612,0.5449,0.0207,0.0000,0.0000,0.0000
43,Tokyo_Small,train,MAPPO,50,0.2062,0.0308,0.3655,0.0380,1205.8367,169.6886,0.6771,0.0267,-0.0000,2.4321,0.5868
43,Tokyo_Medium,train,MAPPO,50,0.1623,0.0297,0.4891,0.0540,1582.1782,196.7007,0.6149,0.0401,-0.0000,14.0264,0.5982
43,Tokyo_Large,train,MAPPO,50,0.0900,0.0250,0.6419,0.0606,1697.6296,223.5122,0.5708,0.0520,-0.0000,52.3522,0.6094
43,Tokyo_Small,eval,MAPPO,6,0.2025,0.0258,0.3669,0.0374,1184.8080,103.6913,0.6741,0.0235,0.0000,0.0000,0.0000
43,Tokyo_Small,eval,TamAlwaysAccept,6,0.2119,0.0300,0.3675,0.0389,1240.7014,177.1438,0.6723,0.0362,0.0000,0.0000,0.0000
43,Tokyo_Small,eval,Greedy,6,0.1132,0.0203,0.2754,0.0331,1707.1113,176.5178,0.7159,0.0056,0.0000,0.0000,0.0000
43,Tokyo_Small,eval,Random,6,0.1142,0.0182,0.2743,0.0309,1557.0912,149.3221,0.7244,0.0092,0.0000,0.0000,0.0000
43,Tokyo_Small,eval,InsertionGreedy,6,0.1256,0.0164,0.2803,0.0246,1423.2631,124.5403,0.6959,0.0317,0.0000,0.0000,0.0000
43,Tokyo_Medium,eval,MAPPO,6,0.1414,0.0196,0.4529,0.0150,1687.5454,177.7357,0.6611,0.0268,0.0000,0.0000,0.0000
43,Tokyo_Medium,eval,TamAlwaysAccept,6,0.1463,0.0269,0.4832,0.0616,1582.5966,100.1160,0.6018,0.0282,0.0000,0.0000,0.0000
43,Tokyo_Medium,eval,Greedy,6,0.0794,0.0132,0.4030,0.0425,1894.8701,157.3664,0.6697,0.0145,0.0000,0.0000,0.0000
43,Tokyo_Medium,eval,Random,6,0.0747,0.0132,0.3912,0.0307,2137.7590,115.9162,0.6881,0.0204,0.0000,0.0000,0.0000
43,Tokyo_Medium,eval,InsertionGreedy,6,0.0873,0.0160,0.4017,0.0473,1802.0814,168.5086,0.6587,0.0391,0.0000,0.0000,0.0000
43,Tokyo_Large,eval,MAPPO,6,0.1021,0.0273,0.6314,0.0551,1690.6371,179.4523,0.5733,0.0324,0.0000,0.0000,0.0000
43,Tokyo_Large,eval,TamAlwaysAccept,6,0.0783,0.0287,0.6526,0.0422,1913.4779,383.1269,0.6001,0.0387,0.0000,0.0000,0.0000
43,Tokyo_Large,eval,Greedy,6,0.0192,0.0090,0.6010,0.0486,1997.7500,358.4028,0.5604,0.0413,0.0000,0.0000,0.0000
43,Tokyo_Large,eval,Random,6,0.0314,0.0084,0.5627,0.0382,2162.8945,247.5275,0.6303,0.0449,0.0000,0.0000,0.0000
43,Tokyo_Large,eval,InsertionGreedy,6,0.0667,0.0229,0.6114,0.0420,1780.2637,216.8798,0.5132,0.0622,0.0000,0.0000,0.0000
42,Tokyo_Small,train,MAPPO,60,0.2036,0.0280,0.3640,0.0345,1212.7605,138.3900,0.6744,0.0342,0.0138,1.8269,0.3588
42,Tokyo_Medium,train,MAPPO,60,0.1565,0.0302,0.4822,0.0397,1575.5157,160.8198,0.6237,0.0491,0.0040,14.3188,0.3401
42,Kyoto_Small,train,MAPPO,60,0.2321,0.0295,0.3905,0.0374,1175.7662,126.4876,0.6817,0.0320,-0.0013,1.4817,0.3608
42,Kyoto_Medium,train,MAPPO,60,0.1536,0.0264,0.4798,0.0482,1622.2229,212.7746,0.6225,0.0396,-0.0107,9.4670,0.3367
42,LosAngeles_Small,train,MAPPO,60,0.2256,0.0335,0.3850,0.0406,1172.8822,126.5884,0.6843,0.0252,-0.0048,1.6368,0.3567
42,LosAngeles_Medium,train,MAPPO,60,0.1545,0.0294,0.4782,0.0451,1621.1344,174.7407,0.6286,0.0321,-0.0092,11.4912,0.3334
